               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03296,             0.15464,                   0,             0.99728,             0.99649,             0.99499,             0.93307,            0.026759,            0.094369,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.03178,             0.15269,                   0,             0.99738,             0.99698,             0.99499,             0.93448,            0.026829,            0.093414,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.031733,             0.14994,                   0,             0.99712,             0.99645,             0.99499,             0.93378,            0.027201,            0.092939,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.031674,             0.14967,                   0,             0.99682,             0.99703,             0.99499,             0.93132,            0.026099,            0.091187,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.031786,             0.15061,                   0,             0.99647,             0.99734,             0.99499,             0.93134,             0.02652,             0.09441,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.031488,             0.14863,                   0,             0.99737,             0.99598,             0.99499,             0.92884,            0.027753,            0.099215,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.031302,             0.14759,                   0,             0.99722,             0.99602,             0.99499,             0.94125,            0.025826,            0.087898,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.030871,             0.14649,                   0,              0.9974,             0.99554,             0.99499,             0.93392,            0.025947,             0.09013,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.03059,             0.14425,                   0,             0.99686,             0.99712,             0.99499,             0.93687,             0.02615,            0.088452,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.03077,             0.14283,                   0,             0.99738,             0.99672,             0.99499,             0.93473,            0.025646,            0.086669,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.030374,              0.1412,                   0,              0.9965,             0.99776,             0.99498,             0.94141,            0.025628,            0.086109,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.030077,             0.14229,                   0,             0.99682,             0.99646,             0.99499,             0.94752,            0.025548,            0.084273,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.030501,             0.14262,                   0,             0.99731,             0.99728,             0.99499,             0.94457,            0.025858,            0.086763,                   0,             0.00505,             0.00505,             0.00505
